user,identity,review_num,star,Date,comments
Adz Fortunato,Local Guide,88,5,4 months ago,Awesome food! Especially their salt & pepper prawns.
Jasmin Maria Jose,Local Guide,230,4,4 months ago,"Neat place with kids menu, good service, expect a wait time of 30min"
Mike Starkly,Local Guide,2,3,9 months ago,Some of the food is amazing and wirth the price when cooked right. Other times it's another chef or they are distracted or something because not much consistency. We order our favorite 3 times from them in a few months and it's been varying …
arun prasanth b,Local Guide,2,4,4 weeks ago,Preparation time took a little longer than expected..30+ minutes
Karl Wimbush,Local Guide,4,5,2 months ago,I have never have a bad experience there
Keith Slater,Local Guide,31,5,2 years ago,Great for lunch.  Had the Ahi poke bowl. Awesome.
Avinash Sharma,Local Guide,65,4,3 months ago,Best ma pu tofu yet.
Zeeshan Sabir,Local Guide,186,5,2 years ago,Always a good experience. Been going there from 20 years now. Love the fact that they keep changing the menu.
Zoe Rabago,Local Guide,403,5,a year ago,Great service excellent food
Michael Ybarra,Local Guide,4,5,11 months ago,"The food here is amazing!
The manager Susie and our server was such a great help and my family and I enjoyed a wonderful bday dinner with awesome service. Highly recommend this place."
Linda S.,Local Guide,3,2,7 months ago,"My husband and I were at UTC last night and decided to get some takeout from P.F. Changs. I have eaten at this location once and Fashion Valley many times with no issues. We ordered 2 main dishes, the Singapore Street Noodles and the Kung …"
Bart Humphries,Local Guide,34,5,a month ago,We didn't get dinner as we didn't have time. We just split some appetizers.
jordyn dodson,Local Guide,1,5,10 months ago,My fav place for Chinese food. This place will surprise you. Will surely make a return trip. This place has a good atmosphere. They have so many great reviews for a reason.
Sharon Bell,Local Guide,6,5,6 months ago,"The server Shawn, was very good
The food we ordered was top notch."
ERIC BAYLOR,Local Guide,107,4,2 months ago,Food was good but like most places they were understaffed
Olivia Mosch,Local Guide,57,2,3 months ago,The new orange chicken recipe is disgusting
James R,Local Guide,8,5,a month ago,Coconut mojito is amazing
Lori Martinez,Local Guide,13,5,5 months ago,Super quick pick-up service and excellent quality!
Jose Santos,Local Guide,1,5,10 months ago,Chinese food and service here is excellent. it's so savory. had a sister come into town and asked me to take her here again.
Not Sure,Local Guide,64,1,8 months ago,Panda Express is better. This is way overpriced garbage. Will never go back again. Ever! Barf.
A V,Local Guide,85,2,10 months ago,Had a booking for 8pm and I called to get that changed to 7.30 instead and was told that it is not possible as they are getting a lot of reservations for 7.30pm.  Called 10 minutes later no issues in making a reservation for 7.30pm! Got to …
james wulf,Local Guide,156,4,6 months ago,"Food was good, took forever to get our drinks."
Ryan Gale,Local Guide,407,5,4 years ago,I love this PF Chang's location. Inexpensive valet parking is a huge plus
Jose Robinson,Local Guide,23,5,5 months ago,Exelente service great atmosphere and good food
BV Rao,Local Guide,97,4,4 months ago,"Great service, good food, plenty of space."
warner lasala,Local Guide,333,5,3 years ago,Food is very good. Happy hour is great. Nice atmosphere. Bartender Ethan is very friendly.
Michael N. Farley,Local Guide,2,5,a year ago,"We live very close to this location and eat here all the time, yet I've never posted a review for some reason.  Well we always get great service here and the food is outstanding.  It's our go-to for Chinese food.  Definitely try the happy …"
Jessica Adams,Local Guide,107,4,a year ago,"Good food and decent prices. They've changed the menu a little, so make sure you know what you're ordering. We ordered the fried pot stickers for our appetizer, and that's not what we got. Our waiter insisted they were pot stickers, but …"
Vanessa Gonzales,Local Guide,117,2,9 months ago,"Half capacity, and service is abysmally slow. Food was not as good as other locations. Don't waste your time here if you don't have to."
Jeremiah Capers,Local Guide,1,3,11 months ago,If this review was just for the food it would be much higher and if it was just for the service it would be a ZERO... the hostess that took our order was very rude and has horrible customer service skills. She should not work in the service …
Bryan Schultze,Local Guide,17,5,a month ago,"Food was excellent, service was excellent."
Rebecca Remigio,Local Guide,5,4,a year ago,Good food and service👍
Nancy Taylor,Local Guide,15,5,a year ago,"I usually do not care for salads, but I just tried the Asian Cesar Salad (added chicken). Delicious! I was shocked. I know I will try it again and again."
Priscila Morales,Local Guide,7,2,a year ago,"love the food! but delivery is not the best. The portions are smaller than dine in and they always take longer than predicted. I know these are hard times and all, but just letting you all know what can happen if you order delivery."
RON Jyan,Local Guide,16,1,3 years ago,"Don’t typically leave negative comments; however, the Mongolian beef was overcooked to the extreme. I can almost get beef jerky as hard as these."
Jesus Alston,Local Guide,24,5,a year ago,"I admire this spot! They serve first-cleass meals, their menu is nice, The chief cook in that spot is an expert, I enjoy very much eating all their dishes. The dishes are always fresh and tasty, the service towards the customers  is good. I visit often this restaurant and I not even once was unhappy. I recommend it to all my friends."
Ian Larry,Local Guide,1,5,a month ago,Excellent service.
Alex H,Local Guide,1,5,10 months ago,One of my preferred locations for chinese food. visited on fri i believe. this place has a great feel to it. menu is similar to a restaurant in jacksonville i liked.
John Rohrbacher,Local Guide,31,1,10 months ago,"Terrible Terrible Terrible! Thank god we had a free gift card. I'm still upset that I wasted my gas. We ordered the Kung Pao Shrimp and the Seseame Chicken. Both the shrimp and chicken were soggy, caked with breading, and near tasteless. …"
Steven Gould,Local Guide,111,5,a year ago,"My daughter has many allergies, including gluten. We asked if they had a gluten free menu and were told that many of the dishes could be prepared gluten free. Great, but then most of the dishes included lobster sauce or some other …"
Lashanna Griffin,Local Guide,61,5,8 months ago,I loved it everything was delicious the waiters were friendly and helpful
Theresa Hill,Local Guide,45,1,9 months ago,I had a very poor customer service experience today and unfortunately the server added to the experience by being flippant and dismissive.  With everything going on customer service should be paramount to all establishments.  Won't be back for a long while   Do better!
Taha Raja,Local Guide,915,5,a year ago,Respecting and observing COVID protocols.  Service was quick easy and felt safe.  Good food as usual
Keyser Söze,Local Guide,81,5,2 months ago,Great experience.
Barbara Martin,Local Guide,25,5,10 months ago,We love the chicken lettuce wraps and fried green beans for happy hour. The price is a steal !
Kane Hatfield,Local Guide,69,5,a year ago,"At the moment  you arrive in this restaurant  they give you an agreeable feeling. Very congenial hosts, it is a kind place to  pass time with your friends or with your date. heavenly  meals, specialist  chef de cuisine, competitive  pay and courteous  service. Warmly recommended."
Susanne Ball,Local Guide,8,5,8 months ago,Love the food!  Very nice patio seating!
Leslee Guiao,Local Guide,6,1,a year ago,"Took food to go, 1st time eating at PF changs, decided to redeem a gifted gift card, ordered chicken wrap, Mongolian beef, beef with broccoli, everything was super oily. Never eating at PF changs again, 1st and last time for sure, I'm sticking to my traditional Chinese restaurants."
Megan Vowles,Local Guide,9,3,a year ago,"Went here for dinner tonight. Our waiter, Christian, was great. However, I think the restaurant may have been under staffed. Everything moved very slowly included us being seated when we had a reservation. Almost seemed that the restaurant …"
Laurie Waid,Local Guide,16,2,a year ago,We visit here often. Their newest menu eliminated our favorite entree and is much more limited. Today's service was terrible. We came in before the lunch rush and watched several tables who came in later with their food before us. Also the …
Andy Myers,Local Guide,13,4,a year ago,Food is good but kinda over priced for what u get. Its a Corporate franchise like feel of course.. no bad issues just little Over priced.
Brad Larsen,Local Guide,66,5,2 years ago,"We arrived on Fathers Day, without a reservation. The staff fit us in pretty quickly. The service was just spot on, super nice young man. Everything was killer except one dish. We mentioned it and they deducted the price - Wow!! …"
Bruce Trites,Local Guide,319,5,3 months ago,Surprisingly upscale.
Joanna Bidwell,Local Guide,67,3,2 years ago,I sat in line to get to the parking lot. It was valet parking or Park in the car garage. The restaurant validated the parking garage tickets. It was super busy and I don't like crowds. The workers were very friendly and helpful. The …
Sean Pedersen,Local Guide,11,3,a month ago,The was good
Courtney Todd,Local Guide,1,5,9 months ago,"""A place to be ""scene""... how hum service, loud atmosphere but food is great."""
Justin Stearns,Local Guide,52,5,a year ago,I went here with 10 people from work. I called an hour ahead. They had our table ready for us. I loved the fried green beans! The shrimp in lobster suave was excellent! Friendly service and valided parking!
Rebecca Scott,Local Guide,462,4,5 months ago,Great food as always.
Steven Harris,Local Guide,21,5,3 years ago,"Loved the food, the flourless cake is amazing. Service was fantastic."
Jason Wu (Jason),Local Guide,5,1,a year ago,"Horrible service for takeout.
They rather waste your hour than double-check the order in 20 second. And they did not give you any word for their mistake. And they were not in busy totally. …"
Susy Anderson,Local Guide,1,1,10 months ago,Staff is unresponsive and must always wait longer than time given. Not worth the trouble to come here.
LISA Reyes,Local Guide,122,3,11 months ago,"Food was delicious but outside dining ok except by the tree things kept falling near the table, they put an umbrella but it wasn't enough to protect while sitting there , service was ok our waitress was very busy"
LG LGG,Local Guide,38,1,2 months ago,Horrible answer service 😑
Edward Brown,Local Guide,31,5,a year ago,We had an amazing time in this spot. We liked the awesome atmosphere and the meals. The staff are super affable. I am happy we eventually managed to visit this spot.
sheryl bee,Local Guide,25,5,2 years ago,"Great service, quick turnover, tasty food. I hadn't been to a Chang's in YEARS because my last memories of it were very mediocre. But they've really stepped up their game. Everything was seriously delicious and we were in and out (w/time …"
Daniel Kahler,Local Guide,27,4,3 years ago,"Great food. The kitchen is a little loud especially if you are sitting close to it. Great service, good recommendations. They were out of a beer but Austin gave a great alternative. Decent sized portions. We'd go again."
Randal Plankey,Local Guide,35,3,a year ago,Went for lunch and the food was good but we ordered three entrees and portions were on the skinny side. Corporate profits seem to be getting in the way of what used to be better back in the day. Also my favorite menu item was always the Kung Pao Scallops and it was nowhere to be found.
David Hallak,Local Guide,210,1,a year ago,Our Mongolian beef has rice in it!! Manager couldn't explain why...we also ordered ginger chicken that tasted like bland plastic. On another hand the Brussels sprouts was good.
Corey Berg,Local Guide,42,5,a year ago,"Would surely recommend trying this place. Awesome character, delicious food, fantastic service. They never disappoint."
Susie Nolasco,Local Guide,63,5,2 years ago,Went to the one in La Jolla. Love the food. Place is clean. Hostess are courteous. Servers are attentive. Overall very good service.
Monica Musaraca,Local Guide,94,4,6 months ago,"Good food, tastey!"
Josh Lehman,Local Guide,173,5,3 years ago,I love P.F. Chang's. The service is always great. The facility is always clean and organized. The food is always great and it settles well as if it is clean food not over done with grease. I've been to P.F. Chang's probably 50 times and will continue to enjoy them any time I am hungry and near one.
Janelle Carter,Local Guide,12,2,2 years ago,"Pretty poor service. No smiles, unenthused workers here. Made reservation for 4:30pm, thought it was unnecessary upon arrival due to so many empty tables. Still waited 15 minutes. Who would have thought? Was brought to the table and was …"
Megan Boatwright,Local Guide,131,3,a year ago,I think that this PF Chang's is going down in statue because it wasn't the fancy type of PF chang that I remember in fact the girl that served us had a big nose piercing like a bull. What happened to the class? The food was good but their …
TheMoEdmond,Local Guide,45,5,a year ago,"The FOOD!!  It's amazing!  They have a rather extensive (as far as Gluten Free goes...)  gluten free menu!  I had a lot of fun and chose the Mongolian Beef, which is as good as the regular Mongolian Beef, but it's made with GF soy sauce. …"
Thao Ho1982,Local Guide,20,5,2 months ago,Very good
Dawn Salisbury,Local Guide,20,5,9 months ago,Awesome food and service doona review
The Moebius,Local Guide,19,5,a year ago,"Always great food here! Staff are friendly and attentive. Have never felt like a ""forgotten diner"" here. :)"
Norma V Thomas,Local Guide,181,5,a year ago,Great food and menu. Great staff! Very spacious and clean.
Anantha Krishnan,Local Guide,58,3,2 years ago,The quantity of food is insufficient. It's better give a choice of portion size to each customer before serving. Then you price it according to the size of portion needed by a customer. …
James Carter,Local Guide,89,1,2 years ago,"Order a fried rice dish.  Totally flavorless, other than the first or second bite that overwhelmingly seemed to have all of the dish's ginger.  Tasted nothing like the fried rice I've been served in the past.  An absolute case of inept and …"
Damian Jackowski,Local Guide,10,1,a year ago,"Extremely dirty in restroom bad restaurant, inattentive staff, improper wearing of masks by hosts (cover your nose!). Sad to see how far this location has fallen."
Bart MacMillan,Local Guide,2,5,3 years ago,"Food, atmosphere, service, ALL were PHENOMENAL! Our waitress, Morgan was ABSOLUTELY FANTASTIC! She was quick efficient, remembered all details, had a great smile the whole time, extremely personable! Handled the large group so well. Thank …"
Edwina Chong,Local Guide,5,4,2 months ago,Good Experience
Michaela Fortunato,Local Guide,53,4,3 years ago,I went here with my team from work for a birthday lunch. They have pretty good American style Asian food. My favorite items include the chicken lettuce wraps and the hot and sour soup. Their crab wantons are also pretty delicious. I …
Daniel Scott,Local Guide,20,3,a year ago,"Inconsistent. The food is usually pretty good. The service is at times is laughable. It's not that they don't try, they don't know what they're doing. The bar doesn't know how to make drinks properly... they couldn't make a Moscow mule or an old fashioned. Stick to beer and food avoid large orders."
Timothy Larsen,Local Guide,32,5,2 years ago,"Love love love P.F. Chang’s. The decor and ambiance is perfect. And so far, the staff (in all the locations I’ve been to) has been great. The food even better, especially the Mongolian beef."
Keith Mazur Real Estate,Local Guide,47,5,2 months ago,Yummm
chloe- Lee,Local Guide,93,4,9 months ago,This restaurant serves the best Hot & sour soup.
Debbie M,Local Guide,17,5,3 years ago,We don't know what we liked better! The food or the service? The waiter impressed me by asking before we ordered if anyone had a food allergy. I thought that was considerate. Fast service and a nice atmosphere.
Ellie Gutierrez,Local Guide,24,4,a year ago,"My first time at this location and loved the food! The service from our server Jase was good, but not impressive. I would go back."
Udo Wahn,Local Guide,168,5,3 years ago,Never disappointed after years of dining at PF Chang's. We like the eggplant and also the orange peel shrimp. Also can't miss with the lettuce wraps and the special sauce that goes with it. Dial up up heat factor as you like.
Dennis Alters,Local Guide,97,4,a year ago,"Very good Mai Tai, family salad with mango, chicken w broccoli and the chocolate cake plus very kind and attentive staff. Parking is confusing. Validation does not cover the valet."
Ericka Clarke,Local Guide,43,3,a year ago,The service was good but the food was only ok. Nothing tasted fresh. The orange chicken was soggy.  The pepper steak was processed meat. Even the lettuce wraps were only ok with premixed sauces and half of the dish the dried noodles and …
Peter Mochrie,Local Guide,17,1,3 weeks ago,Blandest food ever
Cameron F,Local Guide,114,5,3 years ago,"The food at PF Chang is always taste and well presented. What makes this location great are the people, from the valet to the hostess to the waitress. …"
draco man,Local Guide,400,5,2 years ago,"This location is AMAZING. parking can be a little difficult during peak hours. But the service is impeccable, and The food is delightful."
Shanon Prater,Local Guide,34,5,a year ago,"First time at a P.F. Chang’s, was def not disappointed! Great service and tasty food. Will return!"
Theodore Knochel Jr,Local Guide,39,5,4 years ago,Excellent
tracy lambert,Local Guide,252,5,7 months ago,Great food as always!
Aneka Suri,Local Guide,16,1,3 years ago,"Update: My family and I went here two days ago. They thought the food was terrible and agree that they would not go back again. Furthermore, our leftovers got really rank even though we refrigerated them. This place is so disappointing and …"
Debra Morgan,Local Guide,4,4,2 years ago,"By far our family favorite for to go food. Quick and easy ordering online, fast/friendly delivering too. Must try the mongolian beef, spicy noodles and salt and pepper wings. All are great"
Russ Miller,Local Guide,5,3,a year ago,"Food was good, service was terrible. Still had a great time w/family. On the way out we were helped with pictures by  P.F. Chang's. staff. Thank you!"
Prabhu Kandasamy (prabhuspeaks),Local Guide,56,4,4 years ago,"Good food, gets crowded in the evening , lot of outdoor seating . I typically use Valet parking but there is a parking garage close by. Don't miss their dynamite shrimp easily my favorite. Lot of veggie options. Good place to take big …"
Will,Local Guide,205,3,3 years ago,"Came here because it was right next door to the Embassy Suites, and after a long day at the Blue Angels Air Show, I wasn't in the mood to drive anywhere else. Was very busy and 1/2 the restaurant was closed for a party, which prolonged our …"
